MBS,Ime,OIB,DJELATNOST_SIFRA,DJELATNOST_NAZIV,ZUPANIJA,ADRESA,NASELJE,EMAIL_ADRESE,TELEFONSKI_BROJEVI,GFI_COUNT,STATUS,NAZNAKA_IMENA,PRAVNI_OBLIK,OSTALO
10004112,"STIMO društvo s ograničenom odgovornošću za graditeljstvo, proizvodnju, trgovinu i usluge",50546676950,,,Bjelovarsko-bilogorska županija,Hrvatskog proljeća 8,Bjelovar,stimo@stimo.hr,,,18,1,STIMO,d.o.o.
10027866,HIDROREGULACIJA društvo s ograničenom odgovornošću za graditeljstvo i hidrogradnju,54088531631,,,Bjelovarsko-bilogorska županija,Blajburških žrtava 24,Bjelovar,hidroregulacija@bj.t-com.hr,,,19,1,HIDROREGULACIJA,d.o.o.
10028570,"IVICA TRADEING društvo za graditeljstvo, proizvodnju, trgovinu i usluge s ograničenom odgovornošću",19987288904,,,Bjelovarsko-bilogorska županija,Stjepana Radića 17,Daruvar,ivica.tradeing@gmail.com,,,17,1,IVICA TRADEING,d.o.o.
10033876,"MATVEJ društvo s ograničenom odgovornošću za graditeljstvo, proizvodnju i usluge",21270912551,,,Grad Zagreb,Ulica Roberta Frangeša - Mihanovića 9,Zagreb,info@pbsolutions.eu,,,17,1,MATVEJ,d.o.o.
10046193,"ALCA društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",87288591561,,,Bjelovarsko-bilogorska županija,Banovine Hrvatske 26,Bjelovar,historik2000@gmail.com,,,17,1,ALCA,d.o.o.
10052690,ZIRDUM-GRAĐENJE društvo s ograničenom odgovornošću za graditeljstvo i trgovinu,56786876465,,,Grad Zagreb,Racka ulica 29,Ježdovec,zisinvestdoo@gmail.com,,,16,1,ZIRDUM-GRAĐENJE,d.o.o.
10057348,"NOVI STAN društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",43180188801,,,Bjelovarsko-bilogorska županija,Kapelica 17,Kapelica,info@novistan.hr,,,17,1,NOVI STAN,d.o.o.
10058791,ULJANIK društvo s ograničenom odgovornošću za graditeljstvo i trgovinu,9247267055,,,Zagrebačka županija,Tržna ulica 10,Zaprešić,ured@uljanik.net,,,17,1,ULJANIK,d.o.o.
10059639,"IDAS društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",35399169125,,,Bjelovarsko-bilogorska županija,Kapelica 47,Kapelica,idas@idas.hr,,,17,1,IDAS,d.o.o.
10061086,PATON društvo s ograničenom odgovornošću za graditeljstvo i usluge,6283606249,,,Koprivničko-križevačka županija,Prigorska ulica 79,Križevci,goran.tunjic@gmail.com,,,16,1,PATON,d.o.o.
